,summary,config,name
0,"{'_wandb': {'runtime': 60}, 'val_acc': 0.6416696144322603, 'val_loss': 1.2843178510665894, '_timestamp': 1686369811.7521365, 'val_acc_rec': 0.6575875486381323, 'val_acc_balanced': 0.4764230183224597, '_step': 9, 'epoch': 9, 'trainer/global_step': 29, 'val_acc_rec_balanced': 0.47568399942701617, '_runtime': 60.969754457473755}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",morning-leaf-916
1,"{'val_acc_balanced': 0.4343266137958875, 'val_acc_rec_balanced': 0.4132645752757485, '_wandb': {'runtime': 59}, 'val_acc': 0.5360806508666431, 'val_loss': 1.1301122903823853, 'val_acc_rec': 0.5252918287937743, 'trainer/global_step': 29, '_step': 9, 'epoch': 9, '_runtime': 59.75222206115723, '_timestamp': 1686369665.726522}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",eager-planet-915
2,"{'val_acc_rec_balanced': 0.5030081650193382, '_step': 9, 'epoch': 9, '_wandb': {'runtime': 59}, 'val_acc': 0.5675627874071454, 'val_loss': 1.297390103340149, '_timestamp': 1686369519.6461494, 'trainer/global_step': 29, '_runtime': 60.361825466156006, 'val_acc_rec': 0.5797665369649806, 'val_acc_balanced': 0.4950694091755544}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",logical-wind-914
3,"{'val_acc_balanced': 0.4272408224922191, 'val_acc_rec_balanced': 0.4294513679988541, 'epoch': 9, '_wandb': {'runtime': 60}, 'val_loss': 0.8213265538215637, 'val_acc_rec': 0.3463035019455253, 'trainer/global_step': 29, '_step': 9, 'val_acc': 0.3427661832331093, '_runtime': 61.37761735916138, '_timestamp': 1686369371.7669537}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",stilted-river-913
4,"{'val_acc_balanced': 0.500126968004063, '_step': 9, '_runtime': 59.3674042224884, 'val_loss': 0.8423414826393127, '_timestamp': 1686369221.7562222, 'val_acc_rec': 0.3035019455252918, 'epoch': 9, '_wandb': {'runtime': 58}, 'val_acc': 0.30367881146091263, 'trainer/global_step': 29, 'val_acc_rec_balanced': 0.5}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",peach-frog-912
5,"{'_runtime': 62.25266623497009, '_timestamp': 1686369076.5675802, 'trainer/global_step': 29, 'val_acc_rec_balanced': 0.5, '_wandb': {'runtime': 61}, 'val_acc': 0.3035019455252918, 'val_loss': 0.8829079866409302, 'val_acc_rec': 0.3035019455252918, 'val_acc_balanced': 0.5, '_step': 9, 'epoch': 9}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",jolly-armadillo-911
6,"{'trainer/global_step': 29, 'val_acc_rec_balanced': 0.44252256123764505, '_step': 9, 'epoch': 9, 'val_loss': 0.7677521705627441, '_timestamp': 1686368928.4084878, 'val_acc_balanced': 0.454538943365759, '_wandb': {'runtime': 57}, 'val_acc': 0.5415634948708878, '_runtime': 57.60061168670654, 'val_acc_rec': 0.5408560311284046}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",neat-capybara-910
7,"{'val_loss': 0.6811920404434204, '_timestamp': 1686368785.2786384, '_step': 9, 'epoch': 9, '_wandb': {'runtime': 59}, 'val_acc': 0.6185001768659356, 'val_acc_rec_balanced': 0.5813995129637588, '_runtime': 59.46077632904053, 'val_acc_rec': 0.6536964980544747, 'val_acc_balanced': 0.5623803570730945, 'trainer/global_step': 29}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",sandy-spaceship-909
8,"{'val_acc_balanced': 0.5125877381463974, '_wandb': {'runtime': 60}, '_timestamp': 1686368639.111317, 'val_acc_rec': 0.5758754863813229, '_runtime': 60.83736991882324, 'val_loss': 0.8096601963043213, 'trainer/global_step': 29, 'val_acc_rec_balanced': 0.5291505514969201, '_step': 9, 'epoch': 9, 'val_acc': 0.5461620091970286}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",valiant-terrain-908
9,"{'_step': 9, '_wandb': {'runtime': 57}, 'val_acc': 0.6964980544747081, '_runtime': 57.95758271217346, 'val_loss': 0.6480657458305359, 'val_acc_balanced': 0.5, 'epoch': 9, '_timestamp': 1686368491.719529, 'val_acc_rec': 0.6964980544747081, 'trainer/global_step': 29, 'val_acc_rec_balanced': 0.5}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 50, 'freeze_encoder': True}",fanciful-dew-907
10,"{'val_acc_rec_balanced': 0.5, 'epoch': 9, 'val_acc': 0.6961443226034666, 'train_loss': 0.6670753359794617, 'val_acc_rec': 0.6964980544747081, 'val_acc_balanced': 0.4997460639918741, 'trainer/global_step': 79, '_step': 10, '_wandb': {'runtime': 60}, '_runtime': 60.79263973236084, 'val_loss': 0.6502408981323242, '_timestamp': 1686368345.5939438}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 20, 'freeze_encoder': True}",robust-snow-906
11,"{'_wandb': {'runtime': 61}, '_runtime': 62.43207144737244, 'val_loss': 0.623629093170166, '_timestamp': 1686368197.2959924, 'val_acc_rec': 0.6964980544747081, 'epoch': 9, 'val_acc': 0.6947293951185002, 'train_loss': 0.6579524874687195, 'val_acc_balanced': 0.5061286478884244, 'trainer/global_step': 79, 'val_acc_rec_balanced': 0.5072339206417419, '_step': 10}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 20, 'freeze_encoder': True}",neat-darkness-905
12,"{'val_loss': 0.7065249681472778, '_timestamp': 1686368047.7815475, 'train_loss': 0.6585268378257751, 'val_acc_rec': 0.5369649805447471, 'val_acc_balanced': 0.48384413538044824, 'trainer/global_step': 79, '_step': 10, 'epoch': 9, '_wandb': {'runtime': 59}, 'val_acc': 0.5157410682702511, '_runtime': 60.227829456329346, 'val_acc_rec_balanced': 0.5048345509239364}","{'weights': 'under_50_task', 'task_name': 'medication', 'train_frac': 20, 'freeze_encoder': True}",fiery-plasma-904
13,"{'_wandb': {'runtime': 59}, 'val_acc': 0.5753448885744605, 'val_loss': 0.7179556488990784, '_timestamp': 1686367899.8227353, 'val_acc_rec': 0.5836575875486382, '_step': 10, 'epoch': 9, 'val_acc_balanced': 0.4672813220299254, 'trainer/global_step': 79, 'val_acc_rec_balanced': 0.4623979372582725, '_runtime': 59.647380352020264, 'train_loss': 0.6425521373748779}","{'weights': 'pathological_task', 'task_name': 'medication', 'train_frac': 20, 'freeze_encoder': True}",fanciful-paper-903
